city	geography_type	year	resident_population	percent_change_in_resident_population	resident_population_density	resident_population_density_rank	number_of_representatives	change_in_number_of_representatives	average_apportionment_population_per_representative
Rhode Island	State	1970	946725	10.1	915.8	3.0	2.0	0.0	478899.0
South Carolina	State	1970	2590516	8.7	86.2	21.0	6.0	0.0	436220.0
South Dakota	State	1970	665507	-2.2	8.8	46.0	2.0	0.0	336624.0
Tennessee	State	1970	3923687	10.0	95.2	20.0	8.0	-1.0	495133.0
Texas	State	1970	11196730	16.9	42.9	35.0	24.0	1.0	470783.0
Utah	State	1970	1059273	18.9	12.9	44.0	2.0	0.0	533905.0
Vermont	State	1970	444330	14.0	48.2	32.0	1.0	0.0	448327.0
Virginia	State	1970	4648494	17.2	117.7	18.0	10.0	0.0	469074.0
Washington	State	1970	3409169	19.5	51.3	30.0	7.0	0.0	491927.0
West Virginia	State	1970	1744237	-6.2	72.6	27.0	4.0	-1.0	440833.0
Wisconsin	State	1970	4417731	11.8	81.6	24.0	9.0	-1.0	494113.0
Wyoming	State	1970	332416	0.7	3.4	51.0	1.0	0.0	335719.0
Alabama	State	1980	3893888	13.1	76.9	28.0	7.0	0.0	555723.0
Alaska	State	1980	401851	33.8	0.7	52.0	1.0	0.0	400481.0
Arizona	State	1980	2718215	53.5	23.9	42.0	5.0	1.0	543573.0
Arkansas	State	1980	2286435	18.9	43.9	37.0	4.0	0.0	571378.0
California	State	1980	23667902	18.6	151.9	16.0	45.0	2.0	525968.0
Colorado	State	1980	2889964	30.9	27.9	40.0	6.0	1.0	481472.0
Connecticut	State	1980	3107576	2.5	641.7	6.0	6.0	0.0	517929.0
Delaware	State	1980	594338	8.4	305.0	9.0	1.0	0.0	595225.0
District of Columbia	State	1980	638333	-15.6	0.0	1.0	0.0	0.0	0.0
Florida	State	1980	9746324	43.6	181.8	13.0	19.0	4.0	512631.0
Georgia	State	1980	5463105	19.0	95.0	24.0	10.0	0.0	546427.0
Hawaii	State	1980	964691	25.5	150.2	17.0	2.0	0.0	482500.0
Idaho	State	1980	943935	32.5	11.4	45.0	2.0	0.0	471968.0
Illinois	State	1980	11426518	2.8	205.8	12.0	22.0	-2.0	519021.0
Indiana	State	1980	5490224	5.7	153.2	15.0	10.0	-1.0	549018.0
Iowa	State	1980	2913808	3.2	52.2	34.0	6.0	0.0	485565.0
Kansas	State	1980	2363679	5.2	28.9	39.0	5.0	0.0	472642.0
Kentucky	State	1980	3660777	13.7	92.7	25.0	7.0	0.0	523062.0
Louisiana	State	1980	4205900	15.5	97.3	23.0	8.0	0.0	525497.0
Maine	State	1980	1124660	13.4	36.5	38.0	2.0	0.0	562330.0
Maryland	State	1980	4216975	7.5	434.4	7.0	8.0	0.0	527056.0
Massachusetts	State	1980	5737037	0.8	735.5	5.0	11.0	-1.0	521549.0
Michigan	State	1980	9262078	4.4	163.8	14.0	18.0	-1.0	514352.0
Minnesota	State	1980	4075970	7.1	51.2	35.0	8.0	0.0	509644.0
Mississippi	State	1980	2520638	13.7	53.7	33.0	5.0	0.0	504128.0
Missouri	State	1980	4916686	5.1	71.5	29.0	9.0	-1.0	546383.0
Montana	State	1980	786690	13.3	5.4	50.0	2.0	0.0	393345.0
Nebraska	State	1980	1569825	5.8	20.4	43.0	3.0	0.0	523335.0
Nevada	State	1980	800493	63.8	7.3	49.0	2.0	1.0	399592.0
New Hampshire	State	1980	920610	24.8	102.8	22.0	2.0	0.0	460305.0
New Jersey	State	1980	7364823	2.7	0.0	2.0	14.0	-1.0	526011.0
New Mexico	State	1980	1302894	28.2	10.7	46.0	3.0	1.0	433323.0
New York	State	1980	17558072	-3.7	372.6	8.0	34.0	-5.0	516391.0
North Carolina	State	1980	5881766	15.7	121.0	19.0	11.0	0.0	534039.0
North Dakota	State	1980	652717	5.7	9.5	47.0	1.0	0.0	652695.0
Ohio	State	1980	10797630	1.4	264.3	11.0	21.0	-2.0	514163.0
Oklahoma	State	1980	3025290	18.2	44.1	36.0	6.0	0.0	504211.0
Oregon	State	1980	2633105	25.9	27.4	41.0	5.0	1.0	526533.0
Pennsylvania	State	1980	11863895	0.6	265.2	10.0	23.0	-2.0	515945.0
Puerto Rico	State	1980	3196520	17.9	933.6	3.0	0.0	0.0	0.0
Rhode Island	State	1980	947154	0.0	916.2	4.0	2.0	0.0	473577.0
South Carolina	State	1980	3121820	20.5	103.9	21.0	6.0	0.0	519868.0
South Dakota	State	1980	690768	3.8	9.1	48.0	1.0	-1.0	690178.0
Tennessee	State	1980	4591120	17.0	111.3	20.0	9.0	1.0	510083.0
Texas	State	1980	14229191	27.1	54.5	32.0	27.0	3.0	526977.0
Utah	State	1980	1461037	37.9	17.8	44.0	3.0	1.0	487012.0
Vermont	State	1980	511456	15.1	55.5	31.0	1.0	0.0	511456.0
Virginia	State	1980	5346818	15.0	135.4	18.0	10.0	0.0	534628.0
Washington	State	1980	4132156	21.2	62.2	30.0	8.0	1.0	516270.0
West Virginia	State	1980	1949644	11.8	81.1	27.0	4.0	0.0	487411.0
Wisconsin	State	1980	4705767	6.5	86.9	26.0	9.0	0.0	522815.0
Wyoming	State	1980	469557	41.3	4.8	51.0	1.0	0.0	470816.0
Alabama	State	1990	4040587	3.8	79.8	27.0	7.0	0.0	580373.0
Alaska	State	1990	550043	36.9	1.0	52.0	1.0	0.0	551947.0
Arizona	State	1990	3665228	34.8	32.3	39.0	6.0	1.0	612998.0
Arkansas	State	1990	2350725	2.8	45.2	37.0	4.0	0.0	590560.0
California	State	1990	29760021	25.7	191.0	14.0	52.0	7.0	573832.0
Colorado	State	1990	3294394	14.0	31.8	40.0	6.0	0.0	551319.0
Connecticut	State	1990	3287116	5.8	678.8	6.0	6.0	0.0	549278.0
Delaware	State	1990	666168	12.1	341.9	9.0	1.0	0.0	668696.0
District of Columbia	State	1990	606900	-4.9	0.0	1.0	0.0	0.0	0.0
Florida	State	1990	12937926	32.7	241.3	12.0	23.0	4.0	565364.0
Georgia	State	1990	6478216	18.6	112.6	23.0	11.0	1.0	591674.0
Hawaii	State	1990	1108229	14.9	172.6	15.0	2.0	0.0	557637.0
Idaho	State	1990	1006749	6.7	12.2	46.0	2.0	0.0	505993.0
Illinois	State	1990	11430602	0.0	205.9	13.0	20.0	-2.0	573334.0
Indiana	State	1990	5544159	1.0	154.8	18.0	10.0	0.0	556423.0
Iowa	State	1990	2776755	-4.7	49.7	35.0	5.0	-1.0	557485.0
Kansas	State	1990	2477574	4.8	30.3	41.0	4.0	-1.0	621400.0
Kentucky	State	1990	3685296	0.7	93.3	25.0	6.0	-1.0	616495.0
Louisiana	State	1990	4219973	0.3	97.7	24.0	7.0	-1.0	605459.0
Maine	State	1990	1227928	9.2	39.8	38.0	2.0	0.0	616612.0
Maryland	State	1990	4781468	13.4	492.6	7.0	8.0	0.0	599828.0
Massachusetts	State	1990	6016425	4.9	771.3	5.0	10.0	-1.0	602905.0
Michigan	State	1990	9295297	0.4	164.4	16.0	16.0	-2.0	583049.0
Minnesota	State	1990	4375099	7.3	54.9	33.0	8.0	0.0	548379.0
Mississippi	State	1990	2573216	2.1	54.8	34.0	5.0	0.0	517289.0
Missouri	State	1990	5117073	4.1	74.4	29.0	9.0	0.0	570867.0
Montana	State	1990	799065	1.6	5.5	50.0	1.0	-1.0	803655.0
Nebraska	State	1990	1578385	0.5	20.5	44.0	3.0	0.0	528206.0
Nevada	State	1990	1201833	50.1	10.9	47.0	2.0	0.0	603076.0
New Hampshire	State	1990	1109252	20.5	123.9	20.0	2.0	0.0	556958.0
New Jersey	State	1990	7730188	5.0	0.0	2.0	13.0	-1.0	596049.0
New Mexico	State	1990	1515069	16.3	12.5	45.0	3.0	0.0	507260.0
New York	State	1990	17990455	2.5	381.7	8.0	31.0	-3.0	582081.0
North Carolina	State	1990	6628637	12.7	136.3	19.0	12.0	1.0	554803.0
North Dakota	State	1990	638800	-2.1	9.3	48.0	1.0	0.0	641364.0
Ohio	State	1990	10847115	0.5	265.5	11.0	19.0	-2.0	573017.0
Oklahoma	State	1990	3145585	4.0	45.9	36.0	6.0	0.0	526267.0
Oregon	State	1990	2842321	7.9	29.6	42.0	5.0	0.0	570747.0
Pennsylvania	State	1990	11881643	0.1	265.6	10.0	21.0	-2.0	567843.0
Puerto Rico	State	1990	3522037	10.2	0.0	3.0	0.0	0.0	0.0
Rhode Island	State	1990	1003464	5.9	970.6	4.0	2.0	0.0	502992.0
South Carolina	State	1990	3486703	11.7	116.0	22.0	6.0	0.0	584285.0
South Dakota	State	1990	696004	0.8	9.2	49.0	1.0	0.0	699999.0
Tennessee	State	1990	4877185	6.2	118.3	21.0	9.0	0.0	544071.0
Texas	State	1990	16986510	19.4	65.0	31.0	30.0	3.0	568660.0
Utah	State	1990	1722850	17.9	21.0	43.0	3.0	0.0	575928.0
Vermont	State	1990	562758	10.0	61.1	32.0	1.0	0.0	564964.0
Virginia	State	1990	6187358	15.7	156.7	17.0	11.0	1.0	565143.0
Washington	State	1990	4866692	17.8	73.2	30.0	9.0	1.0	543105.0
West Virginia	State	1990	1793477	-8.0	74.6	28.0	3.0	-1.0	600542.0
Wisconsin	State	1990	4891769	4.0	90.3	26.0	9.0	0.0	545194.0
Wyoming	State	1990	453588	-3.4	4.7	51.0	1.0	0.0	455975.0
Alabama	State	2000	4447100	10.1	87.8	28.0	7.0	0.0	637304.0
Alaska	State	2000	626932	14.0	1.1	52.0	1.0	0.0	628933.0
Arizona	State	2000	5130632	40.0	45.2	38.0	8.0	2.0	642585.0
Arkansas	State	2000	2673400	13.7	51.4	36.0	4.0	0.0	669933.0
California	State	2000	33871648	13.8	217.4	14.0	53.0	1.0	640204.0
Colorado	State	2000	4301261	30.6	41.5	39.0	7.0	1.0	615983.0
Connecticut	State	2000	3405565	3.6	703.3	6.0	5.0	-1.0	681907.0
Delaware	State	2000	783600	17.6	402.1	9.0	1.0	0.0	785068.0
District of Columbia	State	2000	572059	-5.7	0.0	1.0	0.0	0.0	0.0
Florida	State	2000	15982378	23.5	298.0	10.0	25.0	2.0	641156.0
Georgia	State	2000	8186453	26.4	142.3	20.0	13.0	2.0	631306.0
Hawaii	State	2000	1211537	9.3	188.6	15.0	2.0	0.0	608321.0
Idaho	State	2000	1293953	28.5	15.7	46.0	2.0	0.0	648637.0
Illinois	State	2000	12419293	8.6	223.7	13.0	19.0	-1.0	654686.0
Indiana	State	2000	6080485	9.7	169.7	18.0	9.0	-1.0	676754.0
Iowa	State	2000	2926324	5.4	52.4	35.0	5.0	0.0	586385.0
Kansas	State	2000	2688418	8.5	32.9	42.0	4.0	0.0	673456.0
Kentucky	State	2000	4041769	9.7	102.4	25.0	6.0	0.0	674905.0
Louisiana	State	2000	4468976	5.9	103.4	24.0	7.0	0.0	640039.0
Maine	State	2000	1274923	3.8	41.3	40.0	2.0	0.0	638866.0
Maryland	State	2000	5296486	10.8	545.6	7.0	8.0	0.0	663486.0
Massachusetts	State	2000	6349097	5.5	814.0	5.0	10.0	0.0	635557.0
Michigan	State	2000	9938444	6.9	175.8	17.0	15.0	-1.0	663722.0
Minnesota	State	2000	4919479	12.4	61.8	33.0	8.0	0.0	615709.0
Mississippi	State	2000	2844658	10.5	60.6	34.0	4.0	-1.0	713232.0
Missouri	State	2000	5595211	9.3	81.4	29.0	9.0	0.0	622918.0
Montana	State	2000	902195	12.9	6.2	50.0	1.0	0.0	905316.0
Nebraska	State	2000	1711263	8.4	22.3	44.0	3.0	0.0	571790.0
Nevada	State	2000	1998257	66.3	18.2	45.0	3.0	1.0	667344.0
New Hampshire	State	2000	1235786	11.4	138.0	22.0	2.0	0.0	619208.0
New Jersey	State	2000	8414350	8.9	0.0	2.0	13.0	0.0	648027.0
New Mexico	State	2000	1819046	20.1	15.0	47.0	3.0	0.0	607940.0
New York	State	2000	18976457	5.5	402.7	8.0	29.0	-2.0	655344.0
North Carolina	State	2000	8049313	21.4	165.6	19.0	13.0	1.0	620590.0
North Dakota	State	2000	642200	0.5	9.3	49.0	1.0	0.0	643756.0
Ohio	State	2000	11353140	4.7	277.8	11.0	18.0	-1.0	631919.0
Oklahoma	State	2000	3450654	9.7	50.3	37.0	5.0	-1.0	691764.0
Oregon	State	2000	3421399	20.4	35.6	41.0	5.0	0.0	685709.0
Pennsylvania	State	2000	12281054	3.4	274.5	12.0	19.0	-2.0	647404.0
Puerto Rico	State	2000	3808610	8.1	0.0	3.0	0.0	0.0	0.0
Rhode Island	State	2000	1048319	4.5	0.0	4.0	2.0	0.0	524831.0
South Carolina	State	2000	4012012	15.1	133.5	23.0	6.0	0.0	670844.0
South Dakota	State	2000	754844	8.5	10.0	48.0	1.0	0.0	756874.0
Tennessee	State	2000	5689283	16.7	138.0	21.0	9.0	0.0	633337.0
Texas	State	2000	20851820	22.8	79.8	30.0	32.0	2.0	653250.0
Utah	State	2000	2233169	29.6	27.2	43.0	3.0	0.0	745571.0
Vermont	State	2000	608827	8.2	66.1	32.0	1.0	0.0	609890.0
Virginia	State	2000	7078515	14.4	179.2	16.0	11.0	0.0	645518.0
Washington	State	2000	5894121	21.1	88.7	27.0	9.0	0.0	656520.0
West Virginia	State	2000	1808344	0.8	75.2	31.0	3.0	0.0	604359.0
Wisconsin	State	2000	5363675	9.6	99.0	26.0	8.0	-1.0	671401.0
Wyoming	State	2000	493782	8.9	5.1	51.0	1.0	0.0	495304.0
Alabama	State	2010	4779736	7.5	94.4	29.0	7.0	0.0	686140.0
Alaska	State	2010	710231	13.3	1.2	52.0	1.0	0.0	721523.0
Arizona	State	2010	6392017	24.6	56.3	35.0	9.0	1.0	712522.0
Arkansas	State	2010	2915918	9.1	56.0	36.0	4.0	0.0	731557.0
California	State	2010	37253956	10.0	239.1	13.0	53.0	0.0	704566.0
Colorado	State	2010	5029196	16.9	48.5	39.0	7.0	0.0	720704.0
Connecticut	State	2010	3574097	4.9	738.1	6.0	5.0	0.0	716326.0
Delaware	State	2010	897934	14.6	460.8	8.0	1.0	0.0	900877.0
District of Columbia	State	2010	601723	5.2	0.0	1.0	0.0	0.0	0.0
Florida	State	2010	18801310	17.6	350.6	10.0	27.0	2.0	700029.0
Georgia	State	2010	9687653	18.3	168.4	20.0	14.0	1.0	694826.0
Hawaii	State	2010	1360301	12.3	211.8	15.0	2.0	0.0	683431.0
Idaho	State	2010	1567582	21.1	19.0	46.0	2.0	0.0	786750.0
Illinois	State	2010	12830632	3.3	231.1	14.0	18.0	-1.0	714688.0
Indiana	State	2010	6483802	6.6	181.0	18.0	9.0	0.0	722398.0
Iowa	State	2010	3046355	4.1	54.5	38.0	4.0	-1.0	763447.0
Kansas	State	2010	2853118	6.1	34.9	42.0	4.0	0.0	715953.0
Kentucky	State	2010	4339367	7.4	109.9	24.0	6.0	0.0	725101.0
Louisiana	State	2010	4533372	1.4	104.9	26.0	6.0	-1.0	758994.0
Maine	State	2010	1328361	4.2	43.1	40.0	2.0	0.0	666537.0
Maryland	State	2010	5773552	9.0	594.8	7.0	8.0	0.0	723741.0
Massachusetts	State	2010	6547629	3.1	839.4	5.0	9.0	-1.0	728849.0
Michigan	State	2010	9883640	-0.6	174.8	19.0	14.0	-1.0	707973.0
Minnesota	State	2010	5303925	7.8	66.6	33.0	8.0	0.0	664360.0
Mississippi	State	2010	2967297	4.3	63.2	34.0	4.0	0.0	744560.0
Missouri	State	2010	5988927	7.0	87.1	30.0	8.0	-1.0	751435.0
Montana	State	2010	989415	9.7	6.8	50.0	1.0	0.0	994416.0
Nebraska	State	2010	1826341	6.7	23.8	45.0	3.0	0.0	610608.0
Nevada	State	2010	2700551	35.1	24.6	44.0	4.0	1.0	677358.0
New Hampshire	State	2010	1316470	6.5	147.0	23.0	2.0	0.0	660723.0
New Jersey	State	2010	8791894	4.5	0.0	2.0	12.0	-1.0	733958.0
New Mexico	State	2010	2059179	13.2	17.0	47.0	3.0	0.0	689091.0
New York	State	2010	19378102	2.1	411.2	9.0	27.0	-2.0	719298.0
North Carolina	State	2010	9535483	18.5	196.1	17.0	13.0	0.0	735829.0
North Dakota	State	2010	672591	4.7	9.7	49.0	1.0	0.0	675905.0
Ohio	State	2010	11536504	1.6	282.3	12.0	16.0	-2.0	723031.0
Oklahoma	State	2010	3751351	8.7	54.7	37.0	5.0	0.0	752976.0
Oregon	State	2010	3831074	12.0	39.9	41.0	5.0	0.0	769721.0
Pennsylvania	State	2010	12702379	3.4	283.9	11.0	18.0	-1.0	707495.0
Puerto Rico	State	2010	3725789	-2.2	0.0	3.0	0.0	0.0	0.0
Rhode Island	State	2010	1052567	0.4	0.0	4.0	2.0	0.0	527624.0
South Carolina	State	2010	4625364	15.3	153.9	22.0	7.0	1.0	663711.0
South Dakota	State	2010	814180	7.9	10.7	48.0	1.0	0.0	819761.0
Tennessee	State	2010	6346105	11.5	153.9	21.0	9.0	0.0	708381.0
Texas	State	2010	25145561	20.6	96.3	28.0	36.0	4.0	701901.0
Utah	State	2010	2763885	23.8	33.6	43.0	4.0	1.0	692691.0
Vermont	State	2010	625741	2.8	67.9	32.0	1.0	0.0	630337.0
Virginia	State	2010	8001024	13.0	202.6	16.0	11.0	0.0	730703.0
Washington	State	2010	6724540	14.1	101.2	27.0	10.0	1.0	675337.0
West Virginia	State	2010	1852994	2.5	77.1	31.0	3.0	0.0	619938.0
Wisconsin	State	2010	5686986	6.0	105.0	25.0	8.0	0.0	712279.0
Wyoming	State	2010	563626	14.1	5.8	51.0	1.0	0.0	568300.0
Alabama	State	2020	5024279	5.1	99.2	29.0	7.0	0.0	718579.0
Alaska	State	2020	733391	3.3	1.3	52.0	1.0	0.0	736081.0
Arizona	State	2020	7151502	11.9	62.9	35.0	9.0	0.0	795436.0
Arkansas	State	2020	3011524	3.3	57.9	36.0	4.0	0.0	753439.0
California	State	2020	39538223	6.1	253.7	13.0	52.0	-1.0	761091.0
Colorado	State	2020	5773714	14.8	55.7	39.0	8.0	1.0	722771.0
Connecticut	State	2020	3605944	0.9	744.7	6.0	5.0	0.0	721660.0
Delaware	State	2020	989948	10.2	508.0	8.0	1.0	0.0	990837.0
District of Columbia	State	2020	689545	14.6	0.0	1.0	0.0	0.0	0.0
Florida	State	2020	21538187	14.6	401.4	10.0	28.0	1.0	770376.0
Georgia	State	2020	10711908	10.6	185.6	19.0	14.0	0.0	766091.0
Hawaii	State	2020	1455271	7.0	226.6	15.0	2.0	0.0	730069.0
Idaho	State	2020	1839106	17.3	22.3	46.0	2.0	0.0	920689.0
Illinois	State	2020	12812508	-0.1	230.8	14.0	17.0	-1.0	754279.0
Indiana	State	2020	6785528	4.7	189.4	18.0	9.0	0.0	754476.0
Iowa	State	2020	3190369	4.7	57.1	38.0	4.0	0.0	798102.0
Kansas	State	2020	2937880	3.0	35.9	43.0	4.0	0.0	735216.0
Kentucky	State	2020	4505836	3.8	114.1	25.0	6.0	0.0	751557.0
Louisiana	State	2020	4657757	2.7	107.8	28.0	6.0	0.0	776911.0
Maine	State	2020	1362359	2.6	44.2	40.0	2.0	0.0	681791.0
Maryland	State	2020	6177224	7.0	636.1	7.0	8.0	0.0	773160.0
Massachusetts	State	2020	7029917	7.4	901.2	5.0	9.0	0.0	781497.0
Michigan	State	2020	10077331	2.0	178.0	20.0	13.0	-1.0	775726.0
Minnesota	State	2020	5706494	7.6	71.7	32.0	8.0	0.0	713719.0
Mississippi	State	2020	2961279	-0.2	63.1	34.0	4.0	0.0	740979.0
Missouri	State	2020	6154913	2.8	89.5	30.0	8.0	0.0	770035.0
Montana	State	2020	1084225	9.6	7.4	50.0	2.0	1.0	542704.0
Nebraska	State	2020	1961504	7.4	25.5	45.0	3.0	0.0	654444.0
Nevada	State	2020	3104614	15.0	28.3	44.0	4.0	0.0	777116.0
New Hampshire	State	2020	1377529	4.6	153.8	23.0	2.0	0.0	689545.0
New Jersey	State	2020	9288994	5.7	0.0	2.0	12.0	0.0	774541.0
New Mexico	State	2020	2117522	2.8	17.5	47.0	3.0	0.0	706740.0
New York	State	2020	20201249	4.2	428.7	9.0	26.0	-1.0	777529.0
North Carolina	State	2020	10439388	9.5	214.7	17.0	14.0	1.0	746711.0
North Dakota	State	2020	779094	15.8	11.3	49.0	1.0	0.0	779702.0
Ohio	State	2020	11799448	2.3	288.8	12.0	15.0	-1.0	787257.0
Oklahoma	State	2020	3959353	5.5	57.7	37.0	5.0	0.0	792703.0
Oregon	State	2020	4237256	10.6	44.1	41.0	6.0	1.0	706917.0
Pennsylvania	State	2020	13002700	2.4	290.6	11.0	17.0	-1.0	765403.0
Puerto Rico	State	2020	3285874	-11.8	959.6	4.0	0.0	0.0	0.0
Rhode Island	State	2020	1097379	4.3	0.0	3.0	2.0	0.0	549082.0
South Carolina	State	2020	5118425	10.7	170.2	21.0	7.0	0.0	732102.0
South Dakota	State	2020	886667	8.9	11.7	48.0	1.0	0.0	887770.0
Tennessee	State	2020	6910840	8.9	167.6	22.0	9.0	0.0	768544.0
Texas	State	2020	29145505	15.9	111.6	26.0	38.0	2.0	767981.0
Utah	State	2020	3271616	18.4	39.7	42.0	4.0	0.0	818813.0
Vermont	State	2020	643077	2.8	69.8	33.0	1.0	0.0	643503.0
Virginia	State	2020	8631393	7.9	218.6	16.0	11.0	0.0	786777.0
Washington	State	2020	7705281	14.6	115.9	24.0	10.0	0.0	771595.0
West Virginia	State	2020	1793716	-3.2	74.6	31.0	2.0	-1.0	897523.0
Wisconsin	State	2020	5893718	3.6	108.8	27.0	8.0	0.0	737184.0
Wyoming	State	2020	576851	2.3	5.9	51.0	1.0	0.0	577719.0
